PLAYER,TEAM,POSITION,MINUTES,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total
Nikola Jokic,Nuggets,C,3112 ,9.0 ,4.3 ,13.3 ,9.4 ,0.3 ,9.7 ,9.5 ,3.7 ,13.2 ,25.9 
Joel Embiid,76ers,C,2620 ,4.0 ,4.0 ,7.9 ,2.1 ,3.7 ,5.8 ,3.7 ,4.1 ,7.8 ,14.2 
Jimmy Butler,Heat,"SG, SF",3012 ,6.4 ,1.3 ,7.7 ,0.2 ,-1.8 ,-1.6 ,5.5 ,0.7 ,6.2 ,13.8 
Luka Doncic,Mavericks,"PG, SG, SF",2391 ,8.9 ,-0.3 ,8.5 ,3.7 ,-0.9 ,2.7 ,8.3 ,-0.4 ,7.8 ,13.0 
Anthony Davis,Lakers,"PF, C",2512 ,2.4 ,4.7 ,7.1 ,2.2 ,3.5 ,5.7 ,2.5 ,4.7 ,7.2 ,12.9 
Jayson Tatum,Celtics,SF,3531 ,4.3 ,-0.3 ,3.9 ,4.6 ,-0.1 ,4.5 ,4.5 ,-0.3 ,4.2 ,12.6 
Stephen Curry,Warriors,PG,2434 ,7.3 ,-1.4 ,6.0 ,6.0 ,0.1 ,6.1 ,7.5 ,-1.2 ,6.3 ,11.5 
Damian Lillard,Trail Blazers,PG,2107 ,9.4 ,-1.5 ,8.0 ,5.7 ,-1.2 ,4.5 ,9.3 ,-1.5 ,7.8 ,11.5 
Jalen Brunson,Knicks,PG,2822 ,5.1 ,0.2 ,5.3 ,6.7 ,-5.3 ,1.4 ,5.7 ,-1.0 ,4.8 ,10.9 
Derrick White,Celtics,"PG, SG",2912 ,1.7 ,2.6 ,4.2 ,2.7 ,1.8 ,4.4 ,1.9 ,2.5 ,4.4 ,10.7 
Jrue Holiday,Bucks,"PG, SG",2374 ,2.9 ,1.8 ,4.7 ,5.4 ,3.1 ,8.5 ,3.6 ,2.1 ,5.7 ,10.3 
Donovan Mitchell,Cavaliers,"PG, SG",2639 ,6.2 ,-1.1 ,5.1 ,2.9 ,-0.9 ,2.0 ,5.8 ,-1.1 ,4.7 ,10.1 
Devin Booker,Suns,SG,2294 ,5.6 ,0.0 ,5.6 ,6.1 ,-1.9 ,4.2 ,6.0 ,-0.4 ,5.6 ,10.0 
Kyrie Irving,Mavericks,PG,2241 ,5.7 ,0.4 ,6.1 ,3.8 ,0.0 ,3.8 ,5.6 ,0.4 ,6.0 ,10.0 
Fred VanVleet,Raptors,SG,2535 ,3.7 ,1.3 ,5.0 ,3.3 ,0.4 ,3.7 ,3.8 ,1.2 ,5.0 ,10.0 
Shai Gilgeous-Alexander,Thunder,"PG, SG, SF",2416 ,5.4 ,0.0 ,5.4 ,2.0 ,0.9 ,2.9 ,5.0 ,0.2 ,5.2 ,9.9 
James Harden,76ers,"PG, SG",2562 ,5.4 ,0.5 ,5.9 ,1.3 ,-2.0 ,-0.7 ,4.8 ,0.0 ,4.8 ,9.8 
Trae Young,Hawks,PG,2771 ,5.8 ,-1.0 ,4.7 ,-0.1 ,-0.3 ,-0.4 ,4.9 ,-0.9 ,3.9 ,9.8 
